date,location,latitude,longitude,subject_race,subject_sex,violation,citation_issued,warning_issued,outcome
12/6/07,S MIDVALE BLVD,43.0515228,-89.4512128,white,female,violate red traffic signal,TRUE,FALSE,citation
12/6/07,S MIDVALE BLVD,43.0515228,-89.4512128,white,female,vehicle operator fail/wear seat belt,TRUE,FALSE,citation
12/6/07,ANDERSON ST,43.1209332,-89.3383228,black,male,inattentive driving,TRUE,FALSE,citation
12/6/07,E WASHINGTON,43.1109638,-89.333606,black,male,oper veh after rev/sus/can of reg <=10000 lbs,FALSE,TRUE,warning
12/6/07,ODANA RD,43.05007379999999,-89.4705018,white,female,inattentive driving,TRUE,FALSE,citation
12/6/07,S MIDVALE BLVD,43.0515228,-89.4512128,white,male,speeding over fixed limits (1-10 mph) work area,FALSE,TRUE,warning
12/6/07,3000 MAPLE GROVE DR,43.02010569999999,-89.4988081,white,female,speeding over fixed limits (11-15 mph),TRUE,FALSE,citation
12/6/07,FAIR OAKS AVE,43.1063888,-89.3306027,white,male,operating with expired registration,FALSE,TRUE,warning
12/6/07,E WASHINGTON AVE,43.1109638,-89.333606,white,male,oper veh after rev/sus/can of reg <=10000 lbs,TRUE,FALSE,citation
12/6/07,W JOHNSON ST,43.07205379999999,-89.3982694,white,male,truck following too closely,TRUE,FALSE,citation
12/7/07,100 BLOCK OF W LAKESIDE ST,43.05621070000001,-89.3841612,white,male,speeding in school zones (1-10 mph),TRUE,FALSE,citation
12/7/07,4401 FEMRITE DRIVE,43.049801,-89.3067552,white,male,driving too fast for conditions,TRUE,FALSE,citation
12/7/07,100 JOHN NOLEN DR,43.0682238,-89.3849291,white,male,speeding over fixed limits (16-19 mph),TRUE,FALSE,citation
12/7/07,100 JOHN NOLEN DR,43.0682238,-89.3849291,hispanic,male,violate red traffic signal,TRUE,FALSE,citation
12/7/07,100 JOHN NOLEN DR,43.0682238,-89.3849291,hispanic,male,operate w/o valid license (2nd),TRUE,FALSE,citation
12/7/07,100 JOHN NOLEN DR,43.0682238,-89.3849291,hispanic,male,operate w/o valid license (2nd),TRUE,FALSE,citation
12/7/07,WATTS RD,43.0509065,-89.512101,white,male,improper turn into driveway/private rd,TRUE,FALSE,citation
12/7/07,100 JOHN NOLEN DR,43.0682238,-89.3849291,asian/pacific islander,male,speeding over fixed limits (11-15 mph),TRUE,FALSE,citation
12/7/07,S MIDVALE BLVD,43.0515228,-89.4512128,white,male,speed,FALSE,TRUE,warning
12/7/07,S MIDVALE BLVD,43.0515228,-89.4512128,white,female,speeding over fixed limits (1-10 mph),TRUE,FALSE,citation
12/7/07,E JOHNSON ST,43.0908039,-89.3671599,hispanic,male,fail to yld turning left at intersection(2nd),TRUE,FALSE,citation
12/7/07,100 JOHN NOLEN DR,43.0682238,-89.3849291,white,male,speeding over fixed limits (11-15 mph),TRUE,FALSE,citation
12/7/07,100 JOHN NOLEN DR,43.0682238,-89.3849291,white,male,vehicle operator fail/wear seat belt,TRUE,FALSE,citation
12/7/07,S MIDVALE BLVD,43.0515228,-89.4512128,white,female,speeding over fixed limits (1-10 mph),TRUE,FALSE,citation
12/7/07,100 JOHN NOLEN DR,43.0682238,-89.3849291,white,male,speeding over fixed limits (11-15 mph),TRUE,FALSE,citation
12/7/07,100 JOHN NOLEN DR,43.0682238,-89.3849291,asian/pacific islander,male,speeding over fixed limits (11-15 mph),TRUE,FALSE,citation
12/7/07,S MIDVALE BLVD,43.0515228,-89.4512128,white,female,speed,FALSE,TRUE,warning
12/7/07,W JOHNSON ST,43.07205379999999,-89.3982694,white,female,oper veh after rev/sus/can of reg <=10000 lbs,TRUE,FALSE,citation
12/7/07,GRAND CANYON DR,43.0584961,-89.4960624,white,male,driving too fast for conditions,TRUE,FALSE,citation
12/7/07,W JOHNSON ST,43.07205379999999,-89.3982694,white,female,expired drivers license,TRUE,FALSE,citation
